Station1,Station2,Frequency,Station1_lat,Station1_lon,Station2_lat,Station2_lon
基隆長興路口東側,捷運公館站(2號出口),254,25.01727,121.54471,25.01491,121.53438
捷運公館站(2號出口),捷運忠孝新生站(2號出口),100,25.01491,121.53438,25.04235,121.53222
捷運公館站(2號出口),臺大動物醫院前,162,25.01491,121.53438,25.01576,121.54291
光華商場,捷運公館站(2號出口),268,25.04478,121.53274,25.01491,121.53438
臺灣科技大學側門,臺灣科技大學正門,246,25.01295,121.53973,25.01451,121.54142
公館公園,臺灣科技大學側門,208,25.01137,121.54062,25.01295,121.53973
捷運公館站(3號出口),臺灣科技大學側門,344,25.01551,121.53374,25.01295,121.53973
臺大新生教室南側,臺大永齡生醫工程館,225,25.0196,121.53846,25.0136,121.54656
捷運公館站(2號出口),臺大男一舍前,566,25.01491,121.53438,25.01637,121.54535
臺大國青大樓宿舍前,臺大黑森林西側,409,25.02076,121.54432,25.01995,121.54347
基隆長興路口東側,臺大男六舍前,271,25.01727,121.54471,25.01664,121.5452
和平實小東北側,國北教大側門南側,108,25.021641,121.54704,25.022864,121.546622
和平臥龍街口,國北教大側門南側,191,25.024461,121.546705,25.022864,121.546622
嘉興公園,建國和平路口西北側,133,25.021,121.55211,25.02606,121.53738
承德路七段280巷口,承德路七段304巷口,164,25.11587,121.50576,25.1168,121.5048
北投運動中心,洲美運動公園,122,25.11666,121.50962,25.10981,121.49886
捷運明德站(1號出口),捷運明德站(3號出口),458,25.10896,121.51936,25.11,121.51841
捷運明德站(3號出口),文林建民路口,337,25.11,121.51841,25.10788,121.51457
大稻埕碼頭,關渡宮,454,25.05662,121.50783,25.11739,121.46288
捷運關渡站(1號出口),關渡宮,901,25.12397,121.46712,25.11739,121.46288
捷運唭哩岸站(2號出口),關渡宮,362,25.12087,121.50523,25.11739,121.46288
豐年公園,關渡宮,157,25.13475,121.49613,25.11739,121.46288
文林福華路口,關渡宮,135,25.10094,121.52243,25.11739,121.46288
捷運新北投站,關渡宮,123,25.13733,121.50339,25.11739,121.46288
